ID,category,launched
1167942905,Software,2014-12-02 04:38:38
1168203752,Software,2017-12-02 23:08:17
1168322908,Software,2010-11-10 11:02:12
1169125061,Software,2015-07-22 23:01:51
1169135031,Robots,2014-04-28 19:07:30
1169444321,Software,2013-12-03 01:11:54
1169560754,Software,2014-06-05 18:16:52
1169735410,Software,2014-08-05 02:41:07
1170170382,3D Printing,2015-08-05 19:13:35
1170324702,Software,2016-06-28 16:57:15
1170755704,Software,2017-09-26 15:07:27
1171179500,Software,2015-02-03 21:46:06
1171425444,3D Printing,2013-10-23 01:22:48
117184810,Software,2015-02-12 01:21:15
1171887937,Software,2013-06-25 22:22:24
1172550434,Software,2015-11-24 21:48:48
1172617485,Software,2014-04-25 19:55:58
1172723383,Software,2014-11-04 21:51:48
1173221260,Software,2014-06-02 17:21:12
1173510206,Software,2016-04-06 21:06:54
1173984209,Software,2017-11-01 18:07:00
1174417681,Software,2015-03-24 00:52:59
1175612160,Software,2010-07-01 07:58:40
1175931552,Software,2015-08-31 15:32:29
1176148100,Software,2016-05-18 07:36:01
1176211554,Robots,2016-02-02 18:02:28
1176400351,Software,2012-10-12 20:45:31
1176652724,Software,2015-09-10 02:35:17
117682839,Software,2015-11-02 18:21:30
1177347272,Software,2011-02-02 18:09:00
1177411332,Software,2015-10-08 21:55:20
1177509441,Software,2015-06-22 18:00:07
1177574413,Software,2017-01-04 09:52:10
117760229,Software,2017-10-18 13:53:37
1178286452,Software,2015-04-06 21:16:15
1178346669,3D Printing,2014-07-08 17:07:58
1179188576,Software,2017-06-30 19:49:09
1179336894,Software,2017-03-31 18:27:12
1179356051,Software,2015-09-29 21:40:58
118037426,Software,2015-03-27 17:39:39
11811037,Software,2015-02-08 02:47:29
1181807689,Software,2014-10-07 15:00:26
1182214447,Software,2013-05-24 23:09:36
1182279400,Software,2015-10-13 21:17:19
1182495952,Software,2017-12-04 16:05:24
118285483,3D Printing,2016-10-20 16:40:34
1183613455,Software,2016-01-05 23:01:36
1183734845,Software,2015-08-18 05:39:58
1183996314,Software,2016-01-05 22:09:49
1184273793,Software,2013-07-16 20:30:27
1184761564,3D Printing,2014-11-15 13:19:23
1185105986,Software,2014-04-20 19:17:27
1185235157,Software,2017-01-03 23:18:22
1185757737,Robots,2014-04-03 00:31:32
1186108109,Robots,2017-10-03 17:19:34
1186357891,Software,2012-12-09 17:49:20
1186751049,Software,2014-07-28 19:05:23
1187020479,3D Printing,2015-10-20 22:11:24
1187386386,3D Printing,2016-03-09 17:29:10
1188153233,Robots,2016-07-02 00:23:11
1188233526,Software,2017-08-29 12:43:29
1188929771,Software,2017-12-24 17:03:30
118904031,Software,2010-12-10 18:20:42
1189389464,Software,2017-03-18 19:47:02
1189523052,Robots,2015-12-15 18:52:41
1191014586,Software,2015-01-23 21:04:22
1191180092,Software,2012-04-13 01:39:33
119171584,Software,2016-04-04 19:25:20
1193177083,Software,2014-10-23 14:08:58
1193639755,Software,2016-11-29 01:56:11
1194257232,Software,2013-11-22 05:25:26
1194681868,Robots,2012-12-12 03:11:31
1195166323,Robots,2016-03-02 18:21:33
1195689824,Software,2015-07-20 18:27:24
1196260883,Software,2016-09-01 13:28:17
1196410671,3D Printing,2017-07-26 04:14:24
1197096768,Software,2014-09-13 06:00:05
1197373384,Software,2014-10-28 18:18:19
1197443981,Software,2014-07-08 19:57:14
1197598053,Software,2010-12-16 01:07:41
1197715387,3D Printing,2017-11-27 21:08:12
1198131415,3D Printing,2014-12-07 23:39:27
1198359964,Software,2015-04-15 23:37:31
119956164,Software,2011-01-31 20:03:40
1200223481,Software,2014-10-22 00:33:00
1200239295,3D Printing,2014-11-16 16:18:00
1200248071,Software,2015-04-07 22:51:14
1200270381,Software,2010-08-27 07:22:29
1200933794,Software,2015-12-18 22:07:39
1201642118,Robots,2015-01-26 12:00:11
1201993360,3D Printing,2017-05-24 13:54:55
1202457360,Software,2014-12-22 20:50:18
1203547642,Software,2014-05-02 21:59:10
1203635985,Software,2013-04-16 02:37:58
1204335911,Software,2017-10-16 17:22:58
1205323660,3D Printing,2015-08-10 17:28:01
1205348737,Software,2016-02-16 22:04:44
1205608271,3D Printing,2015-02-01 06:46:01
1205940597,Robots,2016-05-02 15:00:25
